position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Lieutenant Governor,John Cheshire,Q6225878,2001-01-24,2006-04-07,male,1942-09-04,,John Cheshire (2005).jpg,John Cheshire
Lieutenant Governor,Andrew Ridgway,Q949179,2006,2011,male,1950-03-20,,Queen's Official Birthday reception Government House Jersey 2010 11.jpg,Andrew Ridgway
Lieutenant Governor,John McColl,Q1701012,2011-09-26,2016-11-30,male,1952-04-18,,"General Sir John McColl, Deputy Supreme Allied Commander Europe, NATO.jpg",John McColl (British Army officer)
Lieutenant Governor,Stephen Dalton,Q7609006,2017-03-13,,male,1954-04-23,,Sir Stephen Dalton in Afghanistan.jpg,Stephen Dalton
Chief Minister,Frank Walker,Q3082431,2005-12-18,2008-12-12,male,1943-10-17,,Frank Walker Chief Minister profile.jpg,Frank Walker (Jersey politician)
Chief Minister,Terry Le Sueur,Q1268367,2008-12-12,2011-11-18,male,1942-03,,Senator Terry Le Sueur.jpg,Terry Le Sueur
Chief Minister,Ian Gorst,Q5015992,2011-11-18,2018-06-07,male,,,Ian gorst in the royal square.JPG,Ian Gorst
Chief Minister,John Le Fondré,Q16196549,2018-06-07,2022-07-12,male,1966,,John Le Fondré Jr.jpg,John Le Fondré
Chief Minister,Kristina Moore,Q6438257,2022-07-12,,female,,,,Kristina Moore
Deputy Chief Minister,Lyndon Farnham,Q12057510,2018,2022-07-12,male,1965,,Lyndon John Farnham in 2012.JPG,Lyndon Farnham
Assistant Chief Minister,Scott Wickenden,Q107614302,2018,2022-07-12,male,,,,
Minister for Children and Education,Scott Wickenden,Q107614302,2018,2022-07-12,male,,,,
Minister for Children and Education,Inna Gardiner,Q113039931,2022-07-12,,female,,,,
"Minister for Economic Development, Tourism, Sport and Culture",Lyndon Farnham,Q12057510,2018,2022-07-12,male,1965,,Lyndon John Farnham in 2012.JPG,Lyndon Farnham
"Minister for Economic Development, Tourism, Sport and Culture",Kirsten Morel,Q113039990,2022-07-12,,male,,,,
Minister for External Relations,Ian Gorst,Q5015992,2018-06-07,2022-07-12,male,,,Ian gorst in the royal square.JPG,Ian Gorst
Minister for External Relations,Philip Ozouf Jr.,Q3379061,2022-07-12,,male,1970-03-25,,Royal Visit 2012 0015.jpg,Philip Ozouf
Minister for Health and Social Services,Richard Renouf,Q106959605,2018,2022-07-12,male,1956,,,
Minister for Health and Social Services,Karen Wilson,Q113039977,2022-07-12,,female,,,,
Minister for Home Affairs,Gregory Guida,Q107614361,2018,2022-07-12,male,,,,
Minister for Home Affairs,Helen Miles,Q113040072,2022-07-12,,female,,,,
Minister for Housing and Communities,Russell Labey,Q106961057,2018,2022-07-12,male,,,,
Minister for Housing and Communities,David Warr,Q113039964,2022-07-12,,male,,,,
Minister for Infrastructure,Kevin Lewis,Q12061148,2018,2022-07-12,male,,,Kevin Charles Lewis in 2012.JPG,Kevin C. Lewis
Minister for Infrastructure,Tom Binet,Q113039992,2022-07-12,,male,,,,
Minister for International Development,Carolyn Labey,Q5045403,2018,,female,,,Assèrmentâtion des Membres d's Êtats 2011 Saint Hélyi Jèrri 11.jpg,Carolyn Labey
Minister for Social Security,Judy Martin,Q16732060,2018,2022-07-12,female,,,,Judy Martin (politician)
Minister for Social Security,Elaine Millar,Q113040012,2022-07-12,,female,,,,
Minister for the Environment,John Young,Q107614343,2018,2022-07-12,male,,,,
Minister for the Environment,Jonathan Renouf,Q113040032,2022-07-12,,male,,,,
Minister for Treasury and Resources,Susan Pinel,Q16734551,2018,2022-07-12,female,,,,Susan Pinel
Minister for Treasury and Resources,Ian Gorst,Q5015992,2022-07-12,,male,,,Ian gorst in the royal square.JPG,Ian Gorst
Assistant Minister for Social Security,Scott Wickenden,Q107614302,2018,2022-07-12,male,,,,
